#{"t_start": 1782404306.9453044, "env_id": "None"}
r,l,t
-2.844119,1222,0.384163
-11.317379,1222,2.730289
-53.252775,1222,3.114453
-166.128177,1222,5.494956
-121.260216,1222,7.32846
-67.241718,1222,8.227487
11.401504,1222,10.604283
-93.260138,1222,10.98706
-47.146233,1222,13.351748
35.333766,1222,15.254001
140.35229,1222,16.17397
84.785407,1222,18.614318
-77.284372,1222,18.997422
135.655279,1222,21.454028
-42.78405,1222,23.317765
99.032181,1222,24.220629
31.462554,1222,26.671921
137.58375,1222,27.076642
103.771106,1222,29.520425
218.958039,1222,31.460578
191.842511,1222,32.365479
