#{"t_start": 1782040401.06026, "env_id": "stocks-v0"}
r,l,t
-81.453934,864,4.274284
-72.03746,864,5.151089
8.890884,864,6.350993
89.221878,864,7.195917
29.172592,864,8.359188
3.654846,864,9.299737
-97.742035,864,10.619321
120.610275,864,11.497731
50.170502,864,12.343643
-34.041443,864,13.511178
139.098007,864,14.344029
39.386261,864,15.537282
103.935608,864,16.388785
-55.93187,864,17.536238
8.89476,864,18.392727
-27.41748,864,19.347277
49.78096,864,20.498547
45.564957,864,21.339981
116.716797,864,22.47688
141.041275,864,23.564175
45.616943,864,24.900229
-3.663467,864,25.94765
-38.704239,864,26.950335
102.128799,864,28.181813
71.494705,864,29.037502
57.738068,864,30.242409
191.48024,864,31.255541
82.850067,864,32.508884
